epoch,lr,memory,step,train_acc,train_auc,train_f1,train_loss,train_precision,train_recall,train_tpr,val_acc,val_auc,val_f1,val_loss,val_precision,val_recall,val_tpr
3,0.0003154619480483234,2599505408.0,479,,,,1.2673885822296143,,,,,,,,,,
3,0.00032576743979007006,2599546368.0,489,,,,0.7954144477844238,,,,,,,,,,
3,0.0003361811104696244,2599587328.0,499,,,,0.731166660785675,,,,,,,,,,
3,0.00034669722663238645,2599628288.0,509,,,,0.689666748046875,,,,,,,,,,
3,,,517,,,,,,,,0.4532812237739563,0.46867862343788147,0.29609352350234985,0.7167689800262451,0.48603352904319763,0.2128949910402298,nan
3,0.000357309851096943,2599669248.0,519,,,,0.7880873680114746,,,,,,,,,,
3,0.0003680131339933723,2599710208.0,529,,,,0.7222557067871094,,,,,,,,,,
3,0.00037880107993260026,2599751168.0,539,,,,0.681955873966217,,,,,,,,,,
3,0.00038966769352555275,2599792128.0,549,,,,0.6688416600227356,,,,,,,,,,
3,0.0004006069211754948,2599833088.0,559,,,,0.6616448760032654,,,,,,,,,,
3,0.0004116126219742,2599874048.0,569,,,,0.650465726852417,,,,,,,,,,
3,0.0004226787423249334,2599915008.0,579,,,,0.6307013630867004,,,,,,,,,,
3,0.00043379905400797725,2599955968.0,589,,,,0.5712634325027466,,,,,,,,,,
3,,,591,,,,,,,,0.5053442120552063,0.5560842752456665,0.4111369550228119,0.6919475793838501,0.5757808089256287,0.31971487402915955,nan
3,,,591,0.3682568073272705,0.3193802237510681,0.4163670837879181,,0.5495708584785461,0.335137277841568,nan,,,,,,,
4,0.00044496741611510515,2599390720.0,599,,,,0.3907560110092163,,,,,,,,,,
4,0.00045617754221893847,2599431680.0,609,,,,0.060667090117931366,,,,,,,,,,
4,0.0004674232623074204,2599472640.0,619,,,,5.871237754821777,,,,,,,,,,
4,0.0004786982317455113,2599513600.0,629,,,,0.8367315530776978,,,,,,,,,,
4,0.0004899962223134935,2599554560.0,639,,,,0.6414104700088501,,,,,,,,,,
4,0.0005013109766878188,2599595520.0,649,,,,0.18880680203437805,,,,,,,,,,
4,0.0005126360920257866,2599636480.0,659,,,,0.0008845473639667034,,,,,,,,,,
4,,,665,,,,,,,,0.459889680147171,0.6612740755081177,0.0,8.555036544799805,0.0,0.0,nan
4,0.0005239652819000185,2599677440.0,669,,,,3.286166191101074,,,,,,,,,,
4,0.0005352923180907965,2599718400.0,679,,,,0.6420032978057861,,,,,,,,,,
4,0.0005466107977554202,2599759360.0,689,,,,0.6045616269111633,,,,,,,,,,
4,0.0005579144926741719,2599800320.0,699,,,,0.5525891184806824,,,,,,,,,,
4,0.000569197058212012,2599841280.0,709,,,,0.43878161907196045,,,,,,,,,,
4,0.0005804522079415619,2599882240.0,719,,,,0.1749582290649414,,,,,,,,,,
4,0.0005916736554354429,2599923200.0,729,,,,0.02364407852292061,,,,,,,,,,
4,0.0006028551724739373,242725376.0,739,,,,0.003800814738497138,,,,,,,,,,
4,,,739,,,,,,,,0.5401103496551514,0.7942281365394592,0.7013917565345764,3.625060558319092,0.5401103496551514,1.0,nan
4,,,739,0.6949719786643982,0.7091816663742065,0.7689754366874695,,0.783491849899292,0.7549871802330017,nan,,,,,,,
5,0.0006139905890449882,2599398912.0,749,,,,0.08268473297357559,,,,,,,,,,
5,0.0006250736187212169,2599439872.0,759,,,,0.018839038908481598,,,,,,,,,,
5,0.0006360980914905667,2599480832.0,769,,,,1.7482998371124268,,,,,,,,,,
5,0.0006470578955486417,2599521792.0,779,,,,0.7500948905944824,,,,,,,,,,
5,0.0006579469190910459,2599562752.0,789,,,,0.6698620319366455,,,,,,,,,,
5,0.0006687591085210443,2599603712.0,799,,,,0.5610322952270508,,,,,,,,,,
5,0.0006794884102419019,2599644672.0,809,,,,0.3919305205345154,,,,,,,,,,
5,,,813,,,,,,,,0.5741294026374817,0.826079249382019,0.37072259187698364,0.7632014155387878,0.9179983139038086,0.23225875198841095,nan
5,0.0006901288288645446,2599685632.0,819,,,,0.7211343050003052,,,,,,,,,,
5,0.0007006745436228812,2599726592.0,829,,,,0.6259903907775879,,,,,,,,,,
5,0.0007111195591278374,2599767552.0,839,,,,0.625931978225708,,,,,,,,,,
5,0.0007214581128209829,2599808512.0,849,,,,0.5168741941452026,,,,,,,,,,
5,0.0007316844421438873,2599849472.0,859,,,,0.4835366904735565,,,,,,,,,,
5,0.0007417928427457809,2599890432.0,869,,,,0.2938345670700073,,,,,,,,,,
5,0.0007517776684835553,2599931392.0,879,,,,0.10848459601402283,,,,,,,,,,
5,,,887,,,,,,,,0.658832311630249,0.8607416749000549,0.7587271928787231,1.2699377536773682,0.6138216853141785,0.9931907653808594,nan
5,,,887,0.771614134311676,0.8060428500175476,0.8406165242195129,,0.7919045686721802,0.8957139849662781,nan,,,,,,,
6,0.0007616334478370845,2599366144.0,889,,,,0.061611827462911606,,,,,,,,,,
6,0.00077135453466326,2599407104.0,899,,,,0.029190046712756157,,,,,,,,,,
6,0.0007809356320649385,2599448064.0,909,,,,0.025711745023727417,,,,,,,,,,
6,0.0007903713267296553,2599489024.0,919,,,,1.1493048667907715,,,,,,,,,,
6,0.0007996564381755888,2599529984.0,929,,,,0.510490894317627,,,,,,,,,,
6,0.0008087857277132571,2599570944.0,939,,,,0.2529183030128479,,,,,,,,,,
6,0.0008177541894838214,2599611904.0,949,,,,0.08344915509223938,,,,,,,,,,
6,0.0008265567594207823,2599652864.0,959,,,,0.034056589007377625,,,,,,,,,,
6,,,961,,,,,,,,0.5314906239509583,0.8447026610374451,0.2466968446969986,2.4908738136291504,0.9375,0.14203639328479767,nan
6,0.0008351884898729622,2599693824.0,969,,,,0.6076682806015015,,,,,,,,,,
6,0.0008436446660198271,2599734784.0,979,,,,0.49632853269577026,,,,,,,,,,
6,0.000851920573040843,2599775744.0,989,,,,0.4002920389175415,,,,,,,,,,
6,0.0008600115543231368,2599816704.0,999,,,,0.3267149329185486,,,,,,,,,,
6,0.0008679131278768182,2599857664.0,1009,,,,0.15758895874023438,,,,,,,,,,
6,0.0008756208699196577,2599898624.0,1019,,,,0.06392280757427216,,,,,,,,,,
6,0.0008831305312924087,2599939584.0,1029,,,,0.014689312316477299,,,,,,,,,,
6,,,1035,,,,,,,,0.6386047601699829,0.8777983784675598,0.7485305070877075,2.5343198776245117,0.5996156334877014,0.9958506226539612,nan
6,,,1035,0.8729050159454346,0.9022894501686096,0.907970130443573,,0.8847595453262329,0.9324313402175903,nan,,,,,,,
7,0.0008904378628358245,2599374336.0,1039,,,,0.015234505757689476,,,,,,,,,,
7,0.0008975387900136411,2599415296.0,1049,,,,0.014822691679000854,,,,,,,,,,
7,0.0009044294711202383,2599456256.0,1059,,,,0.02485060505568981,,,,,,,,,,
7,0.0009111059480346739,2599497216.0,1069,,,,0.7954059839248657,,,,,,,,,,
7,0.0009175645536743104,2599538176.0,1079,,,,0.42967915534973145,,,,,,,,,,
7,0.0009238016791641712,2599579136.0,1089,,,,0.19396859407424927,,,,,,,,,,
7,0.0009298138902522624,2599620096.0,1099,,,,0.09963486343622208,,,,,,,,,,
7,0.00093559775268659,2599661056.0,1109,,,,1.4931780099868774,,,,,,,,,,
7,,,1109,,,,,,,,0.6195265054702759,0.8772575855255127,0.4681500494480133,1.5687813758850098,0.955409824848175,0.31003299355506897,nan
7,0.0009411501232534647,2599702016.0,1119,,,,0.49166494607925415,,,,,,,,,,
7,0.0009464678587391973,2599742976.0,1129,,,,0.24413451552391052,,,,,,,,,,
7,0.000951547990553081,2599783936.0,1139,,,,0.21813443303108215,,,,,,,,,,
7,0.0009563877247273922,2599824896.0,1149,,,,0.2928568124771118,,,,,,,,,,
7,0.0009609843837097287,2599865856.0,1159,,,,0.08340273797512054,,,,,,,,,,
7,0.0009653353481553495,2599906816.0,1169,,,,0.05932091921567917,,,,,,,,,,
7,0.0009694382315501571,2599947776.0,1179,,,,0.03743971139192581,,,,,,,,,,
7,,,1183,,,,,,,,0.7370991706848145,0.912951648235321,0.8016130924224854,1.2822294235229492,0.6765480637550354,0.9834024906158447,nan
7,,,1183,0.896477997303009,0.9356594085693359,0.9250991940498352,,0.900769054889679,0.9507801532745361,nan,,,,,,,
8,0.0009732907055877149,2599382528.0,1189,,,,0.051973067224025726,,,,,,,,,,
8,0.0009768906747922301,2599423488.0,1199,,,,0.018253155052661896,,,,,,,,,,
8,0.0009802361018955708,2599464448.0,1209,,,,1.6706960201263428,,,,,,,,,,
8,0.0009833251824602485,2599505408.0,1219,,,,0.5058016180992126,,,,,,,,,,
8,0.0009861561702564359,2599546368.0,1229,,,,0.20967340469360352,,,,,,,,,,
8,0.0009887274354696274,2599587328.0,1239,,,,0.05848752707242966,,,,,,,,,,
8,0.000991037581115961,2599628288.0,1249,,,,0.024840721860527992,,,,,,,,,,
8,,,1257,,,,,,,,0.5544190406799316,0.8753181099891663,0.2978993058204651,2.363478899002075,1.0,0.17501862347126007,nan
8,0.0009930853266268969,2599669248.0,1259,,,,1.1756805181503296,,,,,,,,,,
8,0.0009948695078492165,2599710208.0,1269,,,,0.11833559721708298,,,,,,,,,,
8,0.0009963890770450234,2599751168.0,1279,,,,0.042676106095314026,,,,,,,,,,
8,0.0009976433357223868,2599792128.0,1289,,,,0.08973819017410278,,,,,,,,,,
8,0.0009986314689740539,2599833088.0,1299,,,,0.178632915019989,,,,,,,,,,
8,0.0009993530111387372,2599874048.0,1309,,,,0.06749427318572998,,,,,,,,,,
8,0.0009998074965551496,2599915008.0,1319,,,,0.06425115466117859,,,,,,,,,,
