train_loss,lr,memory,epoch,step,val_loss,val_f1,val_tpr,val_acc,val_auc,val_recall,val_precision,train_f1,train_tpr,train_acc,train_auc,train_recall,train_precision
1.3564238548278809,4.0508843085262924e-05,233694720.0,0,9,,,,,,,,,,,,,
1.3286610841751099,4.226641613058746e-05,233725440.0,0,19,,,,,,,,,,,,,
1.3164962530136108,4.527440250967629e-05,233756160.0,0,29,,,,,,,,,,,,,
1.2724010944366455,4.952493327436969e-05,233786880.0,0,39,,,,,,,,,,,,,
1.242609977722168,5.500687620951794e-05,233817600.0,0,49,,,,,,,,,,,,,
1.1555815935134888,6.17058904026635e-05,233848320.0,0,59,,,,,,,,,,,,,
1.1883471012115479,6.960443715797737e-05,233879040.0,0,69,,,,,,,,,,,,,
1.1570427417755127,7.868184911785647e-05,233909760.0,0,79,,,,,,,,,,,,,
1.150313377380371,8.891435572877526e-05,233940480.0,0,89,,,,,,,,,,,,,
1.0093059539794922,0.00010027518146671355,233971200.0,0,99,,,,,,,,,,,,,
,,,0,101,0.6623228788375854,0.6658950448036194,nan,0.9129024744033813,0.9335248470306396,0.9129024744033813,0.9129024744033813,,,,,,
0.8121475577354431,0.00011273458949290216,234003456.0,0,109,,,,,,,,,,,,,
0.7270123362541199,0.00012625996896531433,234034176.0,0,119,,,,,,,,,,,,,
0.6202529072761536,0.00014081592962611467,234064896.0,0,129,,,,,,,,,,,,,
0.40986859798431396,0.00015636436000932008,234095616.0,0,139,,,,,,,,,,,,,
0.48821085691452026,0.00017286455840803683,234126336.0,0,149,,,,,,,,,,,,,
0.2433452159166336,0.00019027334928978235,234157056.0,0,159,,,,,,,,,,,,,
0.365395188331604,0.0002085451560560614,234187776.0,0,169,,,,,,,,,,,,,
0.18099570274353027,0.00022763217566534877,234218496.0,0,179,,,,,,,,,,,,,
0.2139783501625061,0.00024748442228883505,234249216.0,0,189,,,,,,,,,,,,,
0.3825663626194,0.00026804994558915496,234279936.0,0,199,,,,,,,,,,,,,
,,,0,203,0.04337560385465622,0.9229298233985901,nan,0.9888274669647217,0.9964175224304199,0.9888274669647217,0.9888274669647217,,,,,,
,,,0,204,,,,,,,,0.5731571316719055,nan,0.6502196192741394,0.8461683988571167,0.6502196192741394,0.6502196192741394
0.24480749666690826,0.000289274932583794,233683968.0,1,209,,,,,,,,,,,,,
0.23395629227161407,0.00031110382406041026,233714688.0,1,219,,,,,,,,,,,,,
0.07030683755874634,0.0003334794600959867,233745408.0,1,229,,,,,,,,,,,,,
0.11637596040964127,0.00035634328378364444,233776128.0,1,239,,,,,,,,,,,,,
0.12185221910476685,0.0003796354867517948,233806848.0,1,249,,,,,,,,,,,,,
0.19758369028568268,0.00040329506737180054,233837568.0,1,259,,,,,,,,,,,,,
0.11504458636045456,0.00042726012179628015,233868288.0,1,269,,,,,,,,,,,,,
0.08966905623674393,0.0004514679021667689,233899008.0,1,279,,,,,,,,,,,,,
0.07831986993551254,0.0004758550494443625,233929728.0,1,289,,,,,,,,,,,,,
0.2426041066646576,0.0005003577680326998,233960448.0,1,299,,,,,,,,,,,,,
,,,1,306,0.18114197254180908,0.8388494849205017,nan,0.9580730199813843,0.9968175888061523,0.9580730199813843,0.9580730199813843,,,,,,
0.14723995327949524,0.0005249118548817933,233991168.0,1,309,,,,,,,,,,,,,
0.07376006245613098,0.0005494530778378248,234021888.0,1,319,,,,,,,,,,,,,
0.08228164911270142,0.0005739172920584679,234052608.0,1,329,,,,,,,,,,,,,
0.04165232554078102,0.0005982402944937348,234083328.0,1,339,,,,,,,,,,,,,
0.16290734708309174,0.0006223585805855691,234114048.0,1,349,,,,,,,,,,,,,
0.07658413797616959,0.0006462089368142188,234144768.0,1,359,,,,,,,,,,,,,
0.05721120908856392,0.0006697289063595235,234175488.0,1,369,,,,,,,,,,,,,
0.08988955616950989,0.0006928570219315588,234206208.0,1,379,,,,,,,,,,,,,
0.055129487067461014,0.0007155326893553138,234236928.0,1,389,,,,,,,,,,,,,
0.03481724113225937,0.0007376965950243175,234267648.0,1,399,,,,,,,,,,,,,
,,,1,408,0.19127815961837769,0.8373291492462158,nan,0.9514656662940979,0.9977028369903564,0.9514656662940979,0.9514656662940979,,,,,,
0.09529373049736023,0.0007592906476929784,150469120.0,1,409,,,,,,,,,,,,,
,,,1,409,,,,,,,,0.940249502658844,nan,0.9543631672859192,0.9981163740158081,0.9543631672859192,0.9543631672859192
0.07134402543306351,0.0007802584441378713,233699328.0,2,419,,,,,,,,,,,,,
0.1025128960609436,0.0008005450363270938,233730048.0,2,429,,,,,,,,,,,,,
0.04152880609035492,0.0008200972806662321,233760768.0,2,439,,,,,,,,,,,,,
0.06860831379890442,0.000838864129036665,233791488.0,2,449,,,,,,,,,,,,,
0.057701967656612396,0.0008567963377572596,233822208.0,2,459,,,,,,,,,,,,,
0.00931384414434433,0.0008738470496609807,233852928.0,2,469,,,,,,,,,,,,,
0.032511841505765915,0.0008899715612642467,233883648.0,2,479,,,,,,,,,,,,,
0.009782647714018822,0.0009051277302205563,233914368.0,2,489,,,,,,,,,,,,,
0.009076876565814018,0.0009192759171128273,233945088.0,2,499,,,,,,,,,,,,,
0.018670227378606796,0.000932378985453397,233975808.0,2,509,,,,,,,,,,,,,
,,,2,511,0.1585712879896164,0.8379794955253601,nan,0.9509850740432739,0.9976879358291626,0.9509850740432739,0.9509850740432739,,,,,,
0.05297119915485382,0.0009444027091376483,234006528.0,2,519,,,,,,,,,,,,,
0.005135363899171352,0.000955315597821027,234037248.0,2,529,,,,,,,,,,,,,
0.032977424561977386,0.0009650891297496855,234067968.0,2,539,,,,,,,,,,,,,
0.00886797159910202,0.0009736976935528219,234098688.0,2,549,,,,,,,,,,,,,
0.0895005390048027,0.0009811187628656626,234129408.0,2,559,,,,,,,,,,,,,
0.015803905203938484,0.0009873327799141407,234160128.0,2,569,,,,,,,,,,,,,
0.047992367297410965,0.000992323737591505,234190848.0,2,579,,,,,,,,,,,,,
0.02899325080215931,0.0009960783645510674,234221568.0,2,589,,,,,,,,,,,,,
0.004938325844705105,0.000998586998321116,234252288.0,2,599,,,,,,,,,,,,,
0.02316412702202797,0.000999842886812985,234283008.0,2,609,,,,,,,,,,,,,
,,,2,613,0.2867175042629242,0.8296296000480652,nan,0.9469005465507507,0.9972703456878662,0.9469005465507507,0.9469005465507507,,,,,,
,,,2,614,,,,,,,,0.9728288650512695,nan,0.9781172275543213,0.9994775056838989,0.9781172275543213,0.9781172275543213
0.0292426235973835,0.00099997001234442,233683968.0,3,619,,,,,,,,,,,,,
0.03410066291689873,0.0009997304296121001,233714688.0,3,629,,,,,,,,,,,,,
0.019359923899173737,0.0009992512641474605,233745408.0,3,639,,,,,,,,,,,,,
0.018237141892313957,0.0009985328651964664,233776128.0,3,649,,,,,,,,,,,,,
0.06692595034837723,0.0009975755820050836,233806848.0,3,659,,,,,,,,,,,,,
0.004480039235204458,0.0009963797638192773,233837568.0,3,669,,,,,,,,,,,,,
0.040959227830171585,0.0009949461091309786,233868288.0,3,679,,,,,,,,,,,,,
0.015322758816182613,0.0009932752000167966,233899008.0,3,689,,,,,,,,,,,,,
0.06628817319869995,0.000991367851383984,233929728.0,3,699,,,,,,,,,,,,,
0.0577181875705719,0.0009892249945551157,233960448.0,3,709,,,,,,,,,,,,,
,,,3,716,0.048384591937065125,0.9452894926071167,nan,0.9890677332878113,0.9990721940994263,0.9890677332878113,0.9890677332878113,,,,,,
0.13002707064151764,0.0009868477936834097,233991168.0,3,719,,,,,,,,,,,,,
0.016084304079413414,0.0009842371800914407,234021888.0,3,729,,,,,,,,,,,,,
0.05243528261780739,0.0009813944343477488,234052608.0,3,739,,,,,,,,,,,,,
