epoch,lr,memory,step,train_acc,train_auc,train_f1,train_loss,train_precision,train_recall,train_tpr,val_acc,val_auc,val_f1,val_loss,val_precision,val_recall,val_tpr
1,0.00013354493421502411,2599859200.0,269,,,,0.6585760116577148,,,,,,,,,,
1,0.00014037173241376877,2599900160.0,279,,,,0.6465539932250977,,,,,,,,,,
1,0.00014741001359652728,2599941120.0,289,,,,0.6260544061660767,,,,,,,,,,
1,,,295,,,,,,,,0.459889680147171,0.4931403696537018,0.0,0.690908670425415,0.0,0.0,nan
1,,,295,0.3479640781879425,0.30295780301094055,0.05877729505300522,,1.0,0.030278490856289864,nan,,,,,,,
2,0.0001546558632981032,2599375872.0,299,,,,0.5769304037094116,,,,,,,,,,
2,0.0001621052360860631,2599416832.0,309,,,,0.4443691670894623,,,,,,,,,,
2,0.00016975399921648204,2599457792.0,319,,,,0.16665145754814148,,,,,,,,,,
2,0.00017759787442628294,2599498752.0,329,,,,1.6501022577285767,,,,,,,,,,
2,0.00018563249614089727,2599539712.0,339,,,,0.9611619114875793,,,,,,,,,,
2,0.00019385339692234993,2599580672.0,349,,,,0.7960219979286194,,,,,,,,,,
2,0.00020225597836542875,2599621632.0,359,,,,0.739859938621521,,,,,,,,,,
2,0.00021083558385726064,2599662592.0,369,,,,0.6771277189254761,,,,,,,,,,
2,,,369,,,,,,,,0.5258016586303711,0.5038902759552002,0.6364437341690063,0.6921883225440979,0.5431235432624817,0.7684860229492188,nan
2,0.00021958741126582026,2599703552.0,379,,,,0.6841207146644592,,,,,,,,,,
2,0.00022850660025142133,2599744512.0,389,,,,0.6776633262634277,,,,,,,,,,
2,0.00023758817405905575,2599785472.0,399,,,,0.6707565188407898,,,,,,,,,,
2,0.00024682708317413926,2599826432.0,409,,,,0.6633572578430176,,,,,,,,,,
2,0.0002562181616667658,2599867392.0,419,,,,0.6546187400817871,,,,,,,,,,
2,0.0002657561853993684,2599908352.0,429,,,,0.6443121433258057,,,,,,,,,,
2,0.0002754358574748039,2599949312.0,439,,,,0.6232872009277344,,,,,,,,,,
2,,,443,,,,,,,,0.459889680147171,0.5080474615097046,0.0,0.6906526684761047,0.0,0.0,nan
2,,,443,0.40592047572135925,0.3200494050979614,0.4565500020980835,,0.5930625200271606,0.3711238503456116,nan,,,,,,,
3,0.0002852517645806074,2599384064.0,449,,,,0.5829716324806213,,,,,,,,,,
3,0.00029519846430048347,2599425024.0,459,,,,0.48120296001434326,,,,,,,,,,
3,0.00030527039780281484,2599465984.0,469,,,,1.6732022762298584,,,,,,,,,,
3,0.0003154619480483234,2599506944.0,479,,,,1.0756217241287231,,,,,,,,,,
3,0.00032576743979007006,2599547904.0,489,,,,0.8137475848197937,,,,,,,,,,
3,0.0003361811104696244,2599588864.0,499,,,,0.7597602009773254,,,,,,,,,,
3,0.00034669722663238645,2599629824.0,509,,,,0.7354166507720947,,,,,,,,,,
3,,,517,,,,,,,,0.5391908884048462,0.4938569962978363,0.6996966600418091,0.6915743947029114,0.5398751497268677,0.9939355254173279,nan
3,0.000357309851096943,2599670784.0,519,,,,0.6696351766586304,,,,,,,,,,
3,0.0003680131339933723,2599711744.0,529,,,,0.6699821949005127,,,,,,,,,,
3,0.00037880107993260026,2599752704.0,539,,,,0.6624507904052734,,,,,,,,,,
3,0.00038966769352555275,2599793664.0,549,,,,0.6537760496139526,,,,,,,,,,
3,0.0004006069211754948,2599834624.0,559,,,,0.6425753831863403,,,,,,,,,,
3,0.0004116126219742,2599875584.0,569,,,,0.6278982162475586,,,,,,,,,,
3,0.0004226787423249334,2599916544.0,579,,,,0.6013096570968628,,,,,,,,,,
3,0.00043379905400797725,2599957504.0,589,,,,0.54168701171875,,,,,,,,,,
3,,,591,,,,,,,,0.49833351373672485,0.49734801054000854,0.5221675038337708,0.7107338905334473,0.5377071499824524,0.5075008273124695,nan
3,,,591,0.42693033814430237,0.4162379801273346,0.45329347252845764,,0.6321424841880798,0.35332807898521423,nan,,,,,,,
4,0.00044496741611510515,2599392256.0,599,,,,0.3518325686454773,,,,,,,,,,
4,0.00045617754221893847,2599433216.0,609,,,,0.057093068957328796,,,,,,,,,,
4,0.0004674232623074204,2599474176.0,619,,,,5.100578308105469,,,,,,,,,,
4,0.0004786982317455113,2599515136.0,629,,,,0.846514880657196,,,,,,,,,,
4,0.0004899962223134935,2599556096.0,639,,,,0.7376379370689392,,,,,,,,,,
4,0.0005013109766878188,2599597056.0,649,,,,0.7177664041519165,,,,,,,,,,
4,0.0005126360920257866,2599638016.0,659,,,,0.6811306476593018,,,,,,,,,,
4,,,665,,,,,,,,0.48057693243026733,0.5088523626327515,0.3059203028678894,0.7135655283927917,0.5496688485145569,0.21193744242191315,nan
4,0.0005239652819000185,2599678976.0,669,,,,0.7682375907897949,,,,,,,,,,
4,0.0005352923180907965,2599719936.0,679,,,,0.6965847611427307,,,,,,,,,,
4,0.0005466107977554202,2599760896.0,689,,,,0.6746416687965393,,,,,,,,,,
4,0.0005579144926741719,2599801856.0,699,,,,0.6646953821182251,,,,,,,,,,
4,0.000569197058212012,2599842816.0,709,,,,0.6562790870666504,,,,,,,,,,
4,0.0005804522079415619,2599883776.0,719,,,,0.6425714492797852,,,,,,,,,,
4,0.0005916736554354429,2599924736.0,729,,,,0.6251643300056458,,,,,,,,,,
4,0.0006028551724739373,242725888.0,739,,,,0.5251904129981995,,,,,,,,,,
4,,,739,,,,,,,,0.49390873312950134,0.522804319858551,0.3513294458389282,0.6945574283599854,0.5708472728729248,0.25375041365623474,nan
4,,,739,0.4399319887161255,0.4236905574798584,0.5096620917320251,,0.6195443272590637,0.43288564682006836,nan,,,,,,,
5,0.0006139905890449882,2599400448.0,749,,,,0.37387987971305847,,,,,,,,,,
5,0.0006250736187212169,2599441408.0,759,,,,0.060036078095436096,,,,,,,,,,
5,0.0006360980914905667,2599482368.0,769,,,,2.8678388595581055,,,,,,,,,,
5,0.0006470578955486417,2599523328.0,779,,,,0.7625577449798584,,,,,,,,,,
5,0.0006579469190910459,2599564288.0,789,,,,0.6611089706420898,,,,,,,,,,
5,0.0006687591085210443,2599605248.0,799,,,,0.07883037626743317,,,,,,,,,,
5,0.0006794884102419019,2599646208.0,809,,,,0.0014169620117172599,,,,,,,,,,
5,,,813,,,,,,,,0.459889680147171,0.5056924819946289,0.0,8.945761680603027,0.0,0.0,nan
5,0.0006901288288645446,2599687168.0,819,,,,1.145329475402832,,,,,,,,,,
5,0.0007006745436228812,2599728128.0,829,,,,0.6205124855041504,,,,,,,,,,
5,0.0007111195591278374,2599769088.0,839,,,,0.5279756188392639,,,,,,,,,,
5,0.0007214581128209829,2599810048.0,849,,,,0.35124653577804565,,,,,,,,,,
5,0.0007316844421438873,2599851008.0,859,,,,0.08600663393735886,,,,,,,,,,
5,0.0007417928427457809,2599891968.0,869,,,,0.01758638024330139,,,,,,,,,,
5,0.0007517776684835553,2599932928.0,879,,,,0.006362276617437601,,,,,,,,,,
5,,,887,,,,,,,,0.5401103496551514,0.5721024870872498,0.7013917565345764,5.849533557891846,0.5401103496551514,1.0,nan
5,,,887,0.7026614546775818,0.7562028765678406,0.7721661925315857,,0.7964063286781311,0.7493581175804138,nan,,,,,,,
6,0.0007616334478370845,2599367680.0,889,,,,0.0026899916119873524,,,,,,,,,,
6,0.00077135453466326,2599408640.0,899,,,,0.00997956469655037,,,,,,,,,,
6,0.0007809356320649385,2599449600.0,909,,,,0.03131122142076492,,,,,,,,,,
6,0.0007903713267296553,2599490560.0,919,,,,1.1106152534484863,,,,,,,,,,
6,0.0007996564381755888,2599531520.0,929,,,,0.7504224181175232,,,,,,,,,,
6,0.0008087857277132571,2599572480.0,939,,,,0.722773551940918,,,,,,,,,,
6,0.0008177541894838214,2599613440.0,949,,,,0.7083038687705994,,,,,,,,,,
6,0.0008265567594207823,2599654400.0,959,,,,0.6918289661407471,,,,,,,,,,
6,,,961,,,,,,,,0.5190207958221436,0.5505284070968628,0.4592324495315552,0.692633867263794,0.5846356153488159,0.3781253397464752,nan
6,0.0008351884898729622,2599695360.0,969,,,,0.6952794790267944,,,,,,,,,,
6,0.0008436446660198271,2599736320.0,979,,,,0.6832960247993469,,,,,,,,,,
6,0.000851920573040843,2599777280.0,989,,,,0.6715795397758484,,,,,,,,,,
6,0.0008600115543231368,2599818240.0,999,,,,0.6613362431526184,,,,,,,,,,
6,0.0008679131278768182,2599859200.0,1009,,,,0.6515544056892395,,,,,,,,,,
6,0.0008756208699196577,2599900160.0,1019,,,,0.6420224905014038,,,,,,,,,,
6,0.0008831305312924087,2599941120.0,1029,,,,0.6291123032569885,,,,,,,,,,
6,,,1035,,,,,,,,0.459889680147171,0.5081690549850464,0.0,0.6898623704910278,0.0,0.0,nan
6,,,1035,0.4625222384929657,0.4647963345050812,0.5589712858200073,,0.6234836578369141,0.5065574049949646,nan,,,,,,,
7,0.0008904378628358245,2599375872.0,1039,,,,0.6148943305015564,,,,,,,,,,
7,0.0008975387900136411,2599416832.0,1049,,,,0.5945649743080139,,,,,,,,,,
7,0.0009044294711202383,2599457792.0,1059,,,,0.5577497482299805,,,,,,,,,,
7,0.0009111059480346739,2599498752.0,1069,,,,0.8435258269309998,,,,,,,,,,
7,0.0009175645536743104,2599539712.0,1079,,,,0.7896629571914673,,,,,,,,,,
7,0.0009238016791641712,2599580672.0,1089,,,,0.7654849886894226,,,,,,,,,,
7,0.0009298138902522624,2599621632.0,1099,,,,0.7496000528335571,,,,,,,,,,
7,0.00093559775268659,2599662592.0,1109,,,,0.6514127850532532,,,,,,,,,,
7,,,1109,,,,,,,,0.459889680147171,0.5458530187606812,0.0,0.6901120543479919,0.0,0.0,nan
7,0.0009411501232534647,2599703552.0,1119,,,,0.6500635147094727,,,,,,,,,,
7,0.0009464678587391973,2599744512.0,1129,,,,0.6420345306396484,,,,,,,,,,
7,0.000951547990553081,2599785472.0,1139,,,,0.6326847672462463,,,,,,,,,,
7,0.0009563877247273922,2599826432.0,1149,,,,0.619878351688385,,,,,,,,,,
7,0.0009609843837097287,2599867392.0,1159,,,,0.6032876968383789,,,,,,,,,,
7,0.0009653353481553495,2599908352.0,1169,,,,0.5829347372055054,,,,,,,,,,
7,0.0009694382315501571,2599949312.0,1179,,,,0.5481942892074585,,,,,,,,,,
7,,,1183,,,,,,,,0.4666130244731903,0.571527361869812,0.16136610507965088,0.6921859979629517,0.5350509285926819,0.09501010924577713,nan
7,,,1183,0.3313102722167969,0.49304670095443726,0.017752287909388542,,0.7210776805877686,0.008986766450107098,nan,,,,,,,
8,0.0009732907055877149,2599384064.0,1189,,,,0.5004366636276245,,,,,,,,,,
8,0.0009768906747922301,2599425024.0,1199,,,,0.4053049385547638,,,,,,,,,,
8,0.0009802361018955708,2599465984.0,1209,,,,1.5083093643188477,,,,,,,,,,
8,0.0009833251824602485,2599506944.0,1219,,,,0.929345428943634,,,,,,,,,,
8,0.0009861561702564359,2599547904.0,1229,,,,0.8195679783821106,,,,,,,,,,
8,0.0009887274354696274,2599588864.0,1239,,,,0.7827960252761841,,,,,,,,,,
8,0.000991037581115961,2599629824.0,1249,,,,0.7596045732498169,,,,,,,,,,
8,,,1257,,,,,,,,0.6111366748809814,0.6879563927650452,0.7212817668914795,0.6828612089157104,0.5884408354759216,0.9315884709358215,nan
8,0.0009930853266268969,2599670784.0,1259,,,,0.6476045250892639,,,,,,,,,,
8,0.0009948695078492165,2599711744.0,1269,,,,0.6357327103614807,,,,,,,,,,
8,0.0009963890770450234,2599752704.0,1279,,,,0.6192585229873657,,,,,,,,,,
8,0.0009976433357223868,2599793664.0,1289,,,,0.6077439785003662,,,,,,,,,,
8,0.0009986314689740539,2599834624.0,1299,,,,0.5920225381851196,,,,,,,,,,
8,0.0009993530111387372,2599875584.0,1309,,,,0.5728545188903809,,,,,,,,,,
8,0.0009998074965551496,2599916544.0,1319,,,,0.5381042957305908,,,,,,,,,,
8,0.0009999946923926473,2599957504.0,1329,,,,0.49662041664123535,,,,,,,,,,
8,,,1331,,,,,,,,0.5552235245704651,0.713530421257019,0.4007432758808136,0.681778609752655,0.73585444688797,0.2753484547138214,nan
8,,,1331,0.44276076555252075,0.5137450098991394,0.4597576856613159,,0.6603543162345886,0.35263678431510925,nan,,,,,,,
9,0.0009999836329370737,2599392256.0,1339,,,,0.469371497631073,,,,,,,,,,
9,0.0009999172762036324,2599433216.0,1349,,,,0.3643457889556885,,,,,,,,,,
9,0.0009997996967285872,2599474176.0,1359,,,,1.3736121654510498,,,,,,,,,,
9,0.0009996312437579036,2599515136.0,1369,,,,0.8563088774681091,,,,,,,,,,
9,0.0009994115680456161,2599556096.0,1379,,,,0.5560703873634338,,,,,,,,,,
9,0.0009991410188376904,2599597056.0,1389,,,,0.06554576754570007,,,,,,,,,,
9,0.0009988193633034825,2599638016.0,1399,,,,0.015131408348679543,,,,,,,,,,
9,,,1405,,,,,,,,0.45782095193862915,0.7553954720497131,0.00736454501748085,6.166130542755127,0.33018869161605835,0.003723800415173173,nan
9,0.0009984467178583145,2599678976.0,1409,,,,1.13411283493042,,,,,,,,,,
9,0.0009980231989175081,2599719936.0,1419,,,,0.477298766374588,,,,,,,,,,
9,0.0009975488064810634,2599760896.0,1429,,,,0.28758060932159424,,,,,,,,,,
9,0.0009970235405489802,2599801856.0,1439,,,,0.051811300218105316,,,,,,,,,,
9,0.0009964475175365806,2599842816.0,1449,,,,0.006027518771588802,,,,,,,,,,
9,0.0009958208538591862,2599883776.0,1459,,,,0.002643600571900606,,,,,,,,,,
9,0.0009951434331014752,2599924736.0,1469,,,,0.0016167545691132545,,,,,,,,,,
9,0.0009944154880940914,242725888.0,1479,,,,0.0011954077053815126,,,,,,,,,,
9,,,1479,,,,,,,,0.5401103496551514,0.8006027936935425,0.7013917565345764,5.01708984375,0.5401103496551514,1.0,nan
9,,,1479,0.8030359148979187,0.882696807384491,0.8612356185913086,,0.818219006061554,0.9090262651443481,nan,,,,,,,
10,0.0009936369024217129,2599400448.0,1489,,,,0.05110357701778412,,,,,,,,,,
10,0.000992808025330305,2599441408.0,1499,,,,0.03675719350576401,,,,,,,,,,
10,0.0009919287404045463,2599482368.0,1509,,,,1.1793807744979858,,,,,,,,,,
10,0.0009909991640597582,2599523328.0,1519,,,,0.79192715883255,,,,,,,,,,
10,0.0009900194127112627,2599564288.0,1529,,,,0.7519816160202026,,,,,,,,,,
10,0.0009889896027743816,2599605248.0,1539,,,,0.6998112201690674,,,,,,,,,,
10,0.0009879098506644368,2599646208.0,1549,,,,0.5396028161048889,,,,,,,,,,
10,,,1553,,,,,,,,0.5929778218269348,0.8092436790466309,0.4574492573738098,0.6637409329414368,0.8167396187782288,0.3176933825016022,nan
10,0.00098678027279675,2599687168.0,1559,,,,0.6119600534439087,,,,,,,,,,
10,0.0009856009855866432,2599728128.0,1569,,,,0.4884853959083557,,,,,,,,,,
10,0.0009843719890341163,2599769088.0,1579,,,,0.4497922658920288,,,,,,,,,,
10,0.0009830935159698129,2599810048.0,1589,,,,0.22995606064796448,,,,,,,,,,
10,0.0009817657992243767,2599851008.0,1599,,,,0.153073251247406,,,,,,,,,,
10,0.0009803887223824859,2599891968.0,1609,,,,0.04350464418530464,,,,,,,,,,
