train_loss,lr,memory,epoch,step
178.73434448242188,0.0010000000474974513,1497880576.0,0,9
168.00820922851562,0.0010000000474974513,1497880576.0,0,19
166.259521484375,0.0010000000474974513,1497880576.0,0,29
158.76571655273438,0.0010000000474974513,1497880576.0,0,39
151.49832153320312,0.0010000000474974513,1497880576.0,0,49
154.02532958984375,0.0010000000474974513,1497880576.0,0,59
141.11671447753906,0.0010000000474974513,1497880576.0,0,69
145.53585815429688,0.0010000000474974513,1497880576.0,0,79
146.36402893066406,0.0010000000474974513,1497880576.0,0,89
138.32098388671875,0.0010000000474974513,1497880576.0,0,99
145.7941436767578,0.0010000000474974513,1497880576.0,0,109
139.1826934814453,0.0010000000474974513,1497880576.0,1,119
143.91831970214844,0.0010000000474974513,1497880576.0,1,129
137.77374267578125,0.0010000000474974513,1497880576.0,1,139
140.43687438964844,0.0010000000474974513,1497880576.0,1,149
142.90341186523438,0.0010000000474974513,1497880576.0,1,159
138.53622436523438,0.0010000000474974513,1497880576.0,1,169
136.64341735839844,0.0010000000474974513,1497880576.0,1,179
138.9778594970703,0.0010000000474974513,1497880576.0,1,189
141.8170166015625,0.0010000000474974513,1497880576.0,1,199
145.16207885742188,0.0010000000474974513,1497880576.0,1,209
138.08599853515625,0.0010000000474974513,1497880576.0,1,219
139.19540405273438,0.0010000000474974513,1497880576.0,1,229
132.90716552734375,0.0010000000474974513,1497880576.0,2,239
139.86178588867188,0.0010000000474974513,1497880576.0,2,249
134.02609252929688,0.0010000000474974513,1497880576.0,2,259
138.92628479003906,0.0010000000474974513,1497880576.0,2,269
138.43478393554688,0.0010000000474974513,1497880576.0,2,279
139.49008178710938,0.0010000000474974513,1497880576.0,2,289
141.11109924316406,0.0010000000474974513,1497880576.0,2,299
131.994384765625,0.0010000000474974513,1497880576.0,2,309
138.8592987060547,0.0010000000474974513,1497880576.0,2,319
138.30101013183594,0.0010000000474974513,1497880576.0,2,329
138.30319213867188,0.0010000000474974513,1497880576.0,2,339
135.7643585205078,0.0010000000474974513,1497880576.0,2,349
136.191650390625,0.0010000000474974513,1497880576.0,3,359
133.860107421875,0.0010000000474974513,1497880576.0,3,369
129.12071228027344,0.0010000000474974513,1497880576.0,3,379
140.713623046875,0.0010000000474974513,1497880576.0,3,389
127.48786926269531,0.0010000000474974513,1497880576.0,3,399
136.630859375,0.0010000000474974513,1497880576.0,3,409
135.03636169433594,0.0010000000474974513,1497880576.0,3,419
131.28033447265625,0.0010000000474974513,1497880576.0,3,429
132.1514892578125,0.0010000000474974513,1497880576.0,3,439
131.5281982421875,0.0010000000474974513,1497880576.0,3,449
129.7371368408203,0.0010000000474974513,1497880576.0,3,459
132.53936767578125,0.0010000000474974513,1497880576.0,3,469
133.04315185546875,0.0010000000474974513,1497880576.0,4,479
134.9593505859375,0.0010000000474974513,1497880576.0,4,489
135.68380737304688,0.0010000000474974513,1497880576.0,4,499
140.8920440673828,0.0010000000474974513,1497880576.0,4,509
133.19821166992188,0.0010000000474974513,1497880576.0,4,519
131.63015747070312,0.0010000000474974513,1497880576.0,4,529
129.19447326660156,0.0010000000474974513,1497880576.0,4,539
143.331298828125,0.0010000000474974513,1497880576.0,4,549
138.15249633789062,0.0010000000474974513,1497880576.0,4,559
134.37490844726562,0.0010000000474974513,1497880576.0,4,569
129.65634155273438,0.0010000000474974513,1497880576.0,4,579
134.6358184814453,0.0010000000474974513,1118672896.0,4,589
127.0969009399414,0.0010000000474974513,1497880576.0,5,599
128.40989685058594,0.0010000000474974513,1497880576.0,5,609
130.2732391357422,0.0010000000474974513,1497880576.0,5,619
133.99359130859375,0.0010000000474974513,1497880576.0,5,629
129.50955200195312,0.0010000000474974513,1497880576.0,5,639
131.6744384765625,0.0010000000474974513,1497880576.0,5,649
135.869140625,0.0010000000474974513,1497880576.0,5,659
135.095458984375,0.0010000000474974513,1497880576.0,5,669
133.5610809326172,0.0010000000474974513,1497880576.0,5,679
133.286865234375,0.0010000000474974513,1497880576.0,5,689
131.09571838378906,0.0010000000474974513,1497880576.0,5,699
130.087646484375,0.0010000000474974513,1497880576.0,6,709
138.45787048339844,0.0010000000474974513,1497880576.0,6,719
134.88650512695312,0.0010000000474974513,1497880576.0,6,729
133.54965209960938,0.0010000000474974513,1497880576.0,6,739
135.824951171875,0.0010000000474974513,1497880576.0,6,749
126.93972778320312,0.0010000000474974513,1497880576.0,6,759
133.1746826171875,0.0010000000474974513,1497880576.0,6,769
132.0426025390625,0.0010000000474974513,1497880576.0,6,779
135.6909637451172,0.0010000000474974513,1497880576.0,6,789
131.71014404296875,0.0010000000474974513,1497880576.0,6,799
129.803955078125,0.0010000000474974513,1497880576.0,6,809
128.36978149414062,0.0010000000474974513,1497880576.0,6,819
131.609619140625,0.0010000000474974513,1497880576.0,7,829
129.4544677734375,0.0010000000474974513,1497880576.0,7,839
130.70126342773438,0.0010000000474974513,1497880576.0,7,849
123.35980987548828,0.0010000000474974513,1497880576.0,7,859
138.81539916992188,0.0010000000474974513,1497880576.0,7,869
127.91976165771484,0.0010000000474974513,1497880576.0,7,879
132.53514099121094,0.0010000000474974513,1497880576.0,7,889
126.37435150146484,0.0010000000474974513,1497880576.0,7,899
136.5338134765625,0.0010000000474974513,1497880576.0,7,909
132.45664978027344,0.0010000000474974513,1497880576.0,7,919
133.56317138671875,0.0010000000474974513,1497880576.0,7,929
133.70623779296875,0.0010000000474974513,1497880576.0,7,939
132.40606689453125,0.0010000000474974513,1497880576.0,8,949
133.77163696289062,0.0010000000474974513,1497880576.0,8,959
