train_loss,epoch,step,val_loss,val_f1,train_f1
0.5730869174003601,0,19,,,
0.4089471697807312,0,39,,,
,0,51,0.4268016517162323,0.8636629581451416,
0.42330509424209595,0,59,,,
0.4536368250846863,0,79,,,
0.39323538541793823,0,99,,,
,0,103,0.4325408935546875,0.8020176291465759,
,0,104,,,0.8230574131011963
0.30648165941238403,1,119,,,
0.3062030076980591,1,139,,,
,1,156,0.3543121814727783,0.8676337003707886,
0.3778458833694458,1,159,,,
0.3233303427696228,1,179,,,
0.26992639899253845,1,199,,,
,1,208,0.2719341218471527,0.9097582101821899,
,1,209,,,0.8885593414306641
0.25708919763565063,2,219,,,
0.21937312185764313,2,239,,,
0.17158181965351105,2,259,,,
,2,261,0.23542869091033936,0.9285246133804321,
0.19301185011863708,2,279,,,
0.2594083547592163,2,299,,,
,2,313,0.19310469925403595,0.9390350580215454,
,2,314,,,0.9270516633987427
