train_loss,epoch,step,val_loss,val_f1,train_f1
0.4417511522769928,0,19,,,
0.5915273427963257,0,39,,,
,0,51,0.37994813919067383,0.8668717741966248,
0.5919033288955688,0,59,,,
0.3874753713607788,0,79,,,
0.3143344223499298,0,99,,,
,0,103,0.32850128412246704,0.8908649682998657,
,0,104,,,0.8251556158065796
0.35716214776039124,1,119,,,
0.3422412574291229,1,139,,,
,1,156,0.2943374216556549,0.8967636227607727,
0.3234555125236511,1,159,,,
0.27090397477149963,1,179,,,
0.37665295600891113,1,199,,,
,1,208,0.24467097222805023,0.9221320748329163,
,1,209,,,0.8868286609649658
0.23729804158210754,2,219,,,
0.2922813892364502,2,239,,,
0.31033656001091003,2,259,,,
,2,261,0.2077959030866623,0.9284412264823914,
0.22773289680480957,2,279,,,
0.13471528887748718,2,299,,,
,2,313,0.1637704074382782,0.9489637017250061,
,2,314,,,0.9263437390327454
