train_loss,lr,memory,epoch,step,val_loss,val_f1,val_tpr,val_acc,val_auc,val_recall,val_precision,train_f1,train_tpr,train_acc,train_auc,train_recall,train_precision
0.5294981598854065,0.0010000000474974513,2651046400.0,0,9,,,,,,,,,,,,,
0.3953225612640381,0.0010000000474974513,2651066880.0,0,19,,,,,,,,,,,,,
,,,0,28,0.5710713863372803,0.8344992399215698,0.08588193700848426,0.7933570742607117,0.8573093414306641,0.9645707011222839,0.7353394627571106,,,,,,
0.41675180196762085,0.0010000000474974513,2633906176.0,0,29,,,,,,,,,,,,,
0.32307374477386475,0.0010000000474974513,2651109376.0,0,39,,,,,,,,,,,,,
0.3447543978691101,0.0010000000474974513,2651129856.0,0,49,,,,,,,,,,,,,
,,,0,57,0.47490552067756653,0.8253473043441772,0.12056613604424668,0.8070911169052124,0.8804888725280762,0.843919575214386,0.8075748085975647,,,,,,
,,,0,58,,,,,,,,0.8548868298530579,0.22924344388578857,0.7998672127723694,0.8476747870445251,0.8754560947418213,0.8352620005607605
0.3438901901245117,0.0010000000474974513,2651033088.0,1,59,,,,,,,,,,,,,
0.2726348340511322,0.0010000000474974513,2651053056.0,1,69,,,,,,,,,,,,,
0.19202013313770294,0.0010000000474974513,2651073536.0,1,79,,,,,,,,,,,,,
,,,1,87,0.415610671043396,0.8262853026390076,0.15639903387392096,0.8052522540092468,0.898146390914917,0.8575380444526672,0.7972304821014404,,,,,,
0.2783028483390808,0.0010000000474974513,2651094016.0,1,89,,,,,,,,,,,,,
0.13565164804458618,0.0010000000474974513,2651114496.0,1,99,,,,,,,,,,,,,
0.15069392323493958,0.0010000000474974513,2651134976.0,1,109,,,,,,,,,,,,,
,,,1,116,0.4333497881889343,0.8033640384674072,0.2636377772490585,0.8024939894676208,0.9129670262336731,0.7469943761825562,0.8689356446266174,,,,,,
,,,1,117,,,,,,,,0.932169497013092,0.6383720483271328,0.9076361060142517,0.96772301197052,0.9425106048583984,0.9220528602600098
0.16639772057533264,0.0010000000474974513,2651034624.0,2,119,,,,,,,,,,,,,
0.2179984748363495,0.0010000000474974513,2651055104.0,2,129,,,,,,,,,,,,,
0.1450437307357788,0.0010000000474974513,2651075584.0,2,139,,,,,,,,,,,,,
,,,2,146,0.41786032915115356,0.8294262290000916,0.3019603078926639,0.8243880271911621,0.9241375923156738,0.7905096411705017,0.8723729252815247,,,,,,
0.12609288096427917,0.0010000000474974513,2651096064.0,2,149,,,,,,,,,,,,,
0.11712940037250519,0.0010000000474974513,2651116544.0,2,159,,,,,,,,,,,,,
0.12867401540279388,0.0010000000474974513,2651137024.0,2,169,,,,,,,,,,,,,
,,,2,175,0.3982568085193634,0.8298957347869873,0.3187842754451527,0.8312837481498718,0.9262332916259766,0.7619959712028503,0.911080002784729,,,,,,
,,,2,176,,,,,,,,0.9544847011566162,0.8085770101545271,0.9389774203300476,0.9864416718482971,0.9502021670341492,0.9588059782981873
