train_loss,lr,memory,epoch,step,val_loss,val_f1,val_tpr,val_acc,val_auc,val_recall,val_precision,train_f1,train_tpr,train_acc,train_auc,train_recall,train_precision
0.5994381904602051,0.0010000000474974513,2651047424.0,0,9,,,,,,,,,,,,,
0.5586233139038086,0.0010000000474974513,2651067904.0,0,19,,,,,,,,,,,,,
,,,0,28,0.630774736404419,0.7628229260444641,0.0510355848561214,0.6734283566474915,0.7960579991340637,0.9723374843597412,0.6275923848152161,,,,,,
0.5524239540100098,0.0010000000474974513,2633907200.0,0,29,,,,,,,,,,,,,
0.4453760087490082,0.0010000000474974513,2651110400.0,0,39,,,,,,,,,,,,,
0.4737609922885895,0.0010000000474974513,2651130880.0,0,49,,,,,,,,,,,,,
,,,0,57,0.6009575724601746,0.7360574007034302,0.09258784699354931,0.7293989062309265,0.7668894529342651,0.6985849738121033,0.7777777910232544,,,,,,
,,,0,58,,,,,,,,0.8135716319084167,0.19808011669939912,0.7278220653533936,0.7553020715713501,0.8819643259048462,0.7550227642059326
0.45913931727409363,0.0010000000474974513,2651034112.0,1,59,,,,,,,,,,,,,
0.4044157862663269,0.0010000000474974513,2651054080.0,1,69,,,,,,,,,,,,,
0.3438856601715088,0.0010000000474974513,2651074560.0,1,79,,,,,,,,,,,,,
,,,1,87,0.5730793476104736,0.8021010756492615,0.15780134974302637,0.7661762833595276,0.8270044326782227,0.8773273825645447,0.7387564778327942,,,,,,
0.41136088967323303,0.0010000000474974513,2651095040.0,1,89,,,,,,,,,,,,,
0.24465109407901764,0.0010000000474974513,2651115520.0,1,99,,,,,,,,,,,,,
0.2343044877052307,0.0010000000474974513,2651136000.0,1,109,,,,,,,,,,,,,
,,,1,116,0.46691226959228516,0.7603113651275635,0.2762239284732576,0.7629008293151855,0.8759328126907349,0.6962442994117737,0.8373640179634094,,,,,,
,,,1,117,,,,,,,,0.8986454010009766,0.5205983876556074,0.8598937392234802,0.9248367547988892,0.9223942160606384,0.8760887980461121
0.2825049161911011,0.0010000000474974513,2651035648.0,2,119,,,,,,,,,,,,,
0.2319050431251526,0.0010000000474974513,2651056128.0,2,129,,,,,,,,,,,,,
0.22865313291549683,0.0010000000474974513,2651076608.0,2,139,,,,,,,,,,,,,
,,,2,146,0.5205234885215759,0.777944803237915,0.31018272674490344,0.7877830266952515,0.9021567106246948,0.6882647275924683,0.8944966793060303,,,,,,
0.2204023003578186,0.0010000000474974513,2651097088.0,2,149,,,,,,,,,,,,,
0.18395070731639862,0.0010000000474974513,2651117568.0,2,159,,,,,,,,,,,,,
0.13837477564811707,0.0010000000474974513,2651138048.0,2,169,,,,,,,,,,,,,
,,,2,175,0.4592449963092804,0.8048497438430786,0.33987490421341643,0.8066889047622681,0.919413685798645,0.7380572557449341,0.8849343061447144,,,,,,
,,,2,176,,,,,,,,0.9438750147819519,0.7662315543592558,0.9250996112823486,0.9745843410491943,0.9353120923042297,0.9525961875915527
